awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2011,Peace,The Nobel Peace Prize,1,3-Jan,10000000,10545557,10/7/2011,received,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,869,Ellen Johnson Sirleaf,Ellen Johnson Sirleaf,Ellen,Johnson Sirleaf,Ellen Johnson Sirleaf,,female,http://masterdataapi.nobelprize.org/2/laureate/869,10/29/1938,Monrovia,Monrovia,Africa,Liberia,Liberia,"Monrovia, Liberia",,,,,,,,,,,,,,,,,,Individual,Liberia,,,,,
2011,Peace,The Nobel Peace Prize,2,3-Jan,10000000,10545557,10/7/2011,received,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,870,Leymah Gbowee,Leymah Gbowee,Leymah,Gbowee,Leymah Gbowee,,female,http://masterdataapi.nobelprize.org/2/laureate/870,2/1/1972,Monrovia,Monrovia,Africa,Liberia,Liberia,"Monrovia, Liberia",,,,,,,,,,,,,,,,,,Individual,Liberia,,,,,
2011,Peace,The Nobel Peace Prize,3,3-Jan,10000000,10545557,10/7/2011,received,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,871,Tawakkol Karman,Tawakkol Karman,Tawakkol,Karman,Tawakkol Karman,,female,http://masterdataapi.nobelprize.org/2/laureate/871,2/7/1979,Ta'izz,Ta'izz,Asia,Yemen,Yemen,"Ta'izz, Yemen",,,,,,,,,,,,,,,,,,Individual,Yemen,,,,,
2010,Peace,The Nobel Peace Prize,1,1,10000000,10819388,10/8/2010,received,for his long and non-violent struggle for fundamental human rights in China,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2010,855,Liu Xiaobo,Liu Xiaobo,Xiaobo,Liu,Liu Xiaobo,,male,http://masterdataapi.nobelprize.org/2/laureate/855,12/28/1955,Changchun,Changchun,Asia,China,China,"Changchun, China",7/13/2017,Shenyang,Shenyang,Asia,China,China,"Shenyang, China",,,,,,,,,,,Individual,China,,,,,
2009,Peace,The Nobel Peace Prize,1,1,10000000,10958504,10/9/2009,received,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2009,845,Barack H. Obama,Barack H. Obama,Barack,Obama,Barack Hussein Obama,,male,http://masterdataapi.nobelprize.org/2/laureate/845,8/4/1961,"Honolulu, HI","Honolulu, HI",North America,USA,USA,"Honolulu, HI, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2008,Peace,The Nobel Peace Prize,1,1,10000000,10926573,10/10/2008,received,for his important efforts on several continents and over more than three decades to resolve international conflicts,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2008,833,Martti Ahtisaari,Martti Ahtisaari,Martti,Ahtisaari,Martti Ahtisaari,,male,http://masterdataapi.nobelprize.org/2/laureate/833,6/23/1937,Viipuri,Vyborg,Europe,Finland,Finland,"Viipuri (now Vyborg), Finland",,,,,,,,,,,,,,,,,,Individual,Finland,,,,,
2007,Peace,The Nobel Peace Prize,2,2-Jan,10000000,11301989,10/12/2007,received,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2007,819,Al Gore,Al Gore,Al,Gore,Albert Arnold (Al) Gore Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/819,3/31/1948,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2007,Peace,The Nobel Peace Prize,1,2-Jan,10000000,11301989,10/12/2007,received,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2007,818,Intergovernmental Panel on Climate Change,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/818,,,,,,,,,,,,,,,Intergovernmental Panel on Climate Change,Intergovernmental Panel on Climate Change (IPCC),,1988-00-00,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",Organization,,,,,,
2006,Peace,The Nobel Peace Prize,2,2-Jan,10000000,11552680,10/13/2006,received,for their efforts to create economic and social development from below,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2006,810,Grameen Bank,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/810,,,,,,,,,,,,,,,Grameen Bank,Grameen Bank,,1976-00-00,Dhaka,Dhaka,Asia,Bangladesh,Bangladesh,"Dhaka, Bangladesh",Organization,,,,,,
2006,Peace,The Nobel Peace Prize,1,2-Jan,10000000,11552680,10/13/2006,received,for their efforts to create economic and social development from below,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2006,809,Muhammad Yunus,Muhammad Yunus,Muhammad,Yunus,Muhammad Yunus,,male,http://masterdataapi.nobelprize.org/2/laureate/809,6/28/1940,Chittagong,Chittagong,Asia,British India,Bangladesh,"Chittagong, British India (now Bangladesh)",,,,,,,,,,,,,,,,,,Individual,Bangladesh,,,,,
2005,Peace,The Nobel Peace Prize,1,2-Jan,10000000,11711430,10/7/2005,received,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2005,797,International Atomic Energy Agency,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/797,,,,,,,,,,,,,,,International Atomic Energy Agency,International Atomic Energy Agency (IAEA),IAEA,1957-00-00,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",Organization,,,,,,
2005,Peace,The Nobel Peace Prize,2,2-Jan,10000000,11711430,10/7/2005,received,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2005,798,Mohamed ElBaradei,Mohamed ElBaradei,Mohamed,ElBaradei,Mohamed ElBaradei,,male,http://masterdataapi.nobelprize.org/2/laureate/798,6/17/1942,Cairo,Cairo,Africa,Egypt,Egypt,"Cairo, Egypt",,,,,,,,,,,,,,,,,,Individual,Egypt,,,,,
2004,Peace,The Nobel Peace Prize,1,1,10000000,11762861,10/8/2004,received,for her contribution to sustainable development democracy and peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2004,783,Wangari Maathai,Wangari Maathai,Wangari,Maathai,Wangari Muta Maathai,,female,http://masterdataapi.nobelprize.org/2/laureate/783,4/1/1940,Nyeri,Nyeri,Africa,Kenya,Kenya,"Nyeri, Kenya",9/25/2011,Nairobi,Nairobi,Africa,Kenya,Kenya,"Nairobi, Kenya",,,,,,,,,,,Individual,Kenya,,,,,
2003,Peace,The Nobel Peace Prize,1,1,10000000,11807305,10/10/2003,received,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2003,773,Shirin Ebadi,Shirin Ebadi,Shirin,Ebadi,Shirin Ebadi,,female,http://masterdataapi.nobelprize.org/2/laureate/773,6/21/1947,Hamadan,Hamadan,Asia,Iran,Iran,"Hamadan, Iran",,,,,,,,,,,,,,,,,,Individual,Iran,,,,,
2002,Peace,The Nobel Peace Prize,1,1,10000000,12034660,10/11/2002,received,for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2002,762,Jimmy Carter,Jimmy Carter,Jimmy,Carter,James Earl Carter,,male,http://masterdataapi.nobelprize.org/2/laureate/762,10/1/1924,"Plains, GA","Plains, GA",North America,USA,USA,"Plains, GA, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2001,Peace,The Nobel Peace Prize,2,2-Jan,10000000,12295082,10/12/2001,received,for their work for a better organized and more peaceful world,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2001,749,Kofi Annan,Kofi Annan,Kofi,Annan,Kofi Atta Annan,,male,http://masterdataapi.nobelprize.org/2/laureate/749,4/8/1938,Kumasi,Kumasi,Africa,Gold Coast,Ghana,"Kumasi, Gold Coast (now Ghana)",8/18/2018,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,,,,,,,Individual,Ghana,,,,,
2001,Peace,The Nobel Peace Prize,1,2-Jan,10000000,12295082,10/12/2001,received,for their work for a better organized and more peaceful world,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2001,748,United Nations,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/748,,,,,,,,,,,,,,,United Nations,United Nations (U.N.),U.N.,1945-00-00,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",Organization,,,,,,
2000,Peace,The Nobel Peace Prize,1,1,9000000,11333109,10/13/2000,received,for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2000,725,Kim Dae-jung,Kim Dae-jung,Kim,Dae-jung,Kim Dae-jung,,male,http://masterdataapi.nobelprize.org/2/laureate/725,12/3/1925,Mokpo,Mokpo,Asia,Korea,South Korea,"Mokpo, Korea (now South Korea)",8/18/2009,,,,,,N/A,,,,,,,,,,,Individual,South Korea,,,,,
1999,Peace,The Nobel Peace Prize,1,1,7900000,10049186,10/15/1999,received,in recognition of the organisation's pioneering humanitarian work on several continents,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1999,568,Médecins Sans Frontières,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/568,,,,,,,,,,,,,,,Médecins Sans Frontières,Médecins Sans Frontières,,1971-00-00,Paris,Paris,Europe,France,France,"Paris, France",Organization,,,,,,
1998,Peace,The Nobel Peace Prize,2,2-Jan,7600000,9713701,10/16/1998,received,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1998,567,David Trimble,David Trimble,David,Trimble,David Trimble,,male,http://masterdataapi.nobelprize.org/2/laureate/567,10/15/1944,Belfast,Belfast,Europe,Northern Ireland,Northern Ireland,"Belfast, Northern Ireland",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
1998,Peace,The Nobel Peace Prize,1,2-Jan,7600000,9713701,10/16/1998,received,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1998,566,John Hume,John Hume,John,Hume,John Hume,,male,http://masterdataapi.nobelprize.org/2/laureate/566,1/18/1937,Londonderry,Londonderry,Europe,Northern Ireland,Northern Ireland,"Londonderry, Northern Ireland",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
1997,Peace,The Nobel Peace Prize,1,2-Jan,7500000,9572839,10/10/1997,received,for their efforts to ban and remove anti-personnel landmines,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1997,564,International Campaign to Ban Landmines,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/564,,,,,,,,,,,,,,,International Campaign to Ban Landmines,International Campaign to Ban Landmines (ICBL),,1992-00-00,,,North America,USA,USA,USA,Organization,,,,,,
1997,Peace,The Nobel Peace Prize,2,2-Jan,7500000,9572839,10/10/1997,received,for their work for the banning and clearing of anti-personnel mines,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1997,565,Jody Williams,Jody Williams,Jody,Williams,Jody Williams,,female,http://masterdataapi.nobelprize.org/2/laureate/565,10/9/1950,"Putney, VT","Putney, VT",North America,USA,USA,"Putney, VT, USA",,,,,,,,,,,,,,,,,,Individual,"Putney, VT, USA",,,,,
1996,Peace,The Nobel Peace Prize,1,2-Jan,7400000,9490424,10/11/1996,received,for their work towards a just and peaceful solution to the conflict in East Timor,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1996,562,Carlos Filipe Ximenes Belo,Carlos Filipe Ximenes Belo,Carlos Filipe Ximenes,Belo,Carlos Filipe Ximenes Belo,,male,http://masterdataapi.nobelprize.org/2/laureate/562,2/3/1948,Wailacama,Wailacama,Oceania,East Timor,East Timor,"Wailacama, East Timor",,,,,,,,,,,,,,,,,,Individual,East Timor,,,,,
1996,Peace,The Nobel Peace Prize,2,2-Jan,7400000,9490424,10/11/1996,received,for their work towards a just and peaceful solution to the conflict in East Timor,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1996,563,José Ramos-Horta,José Ramos-Horta,José,Ramos-Horta,José Ramos-Horta,,male,http://masterdataapi.nobelprize.org/2/laureate/563,12/26/1949,Dili,Dili,Oceania,East Timor,East Timor,"Dili, East Timor",,,,,,,,,,,,,,,,,,Individual,East Timor,,,,,
1995,Peace,The Nobel Peace Prize,1,2-Jan,7200000,9278351,10/13/1995,received,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1995,560,Joseph Rotblat,Joseph Rotblat,Joseph,Rotblat,Joseph Rotblat,,male,http://masterdataapi.nobelprize.org/2/laureate/560,11/4/1908,Warsaw,Warsaw,Europe,Russian Empire,Poland,"Warsaw, Russian Empire (now Poland)",8/31/2005,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1995,Peace,The Nobel Peace Prize,2,2-Jan,7200000,9278351,10/13/1995,received,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1995,561,Pugwash Conferences on Science and World Affairs,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/561,,,,,,,,,,,,,,,Pugwash Conferences on Science and World Affairs,Pugwash Conferences on Science and World Affairs,,1957-00-00,Pugwash,Pugwash,North America,Canada,Canada,"Pugwash, Canada",Organization,,,,,,
1994,Peace,The Nobel Peace Prize,2,3-Jan,7000000,9249471,10/14/1994,received,for their efforts to create peace in the Middle East,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1994,558,Shimon Peres,Shimon Peres,Shimon,Peres,Shimon Peres,,male,http://masterdataapi.nobelprize.org/2/laureate/558,8/16/1923,Vishneva,Vishneva,Europe,Poland,Belarus,"Vishneva, Poland (now Belarus)",9/28/2016,Tel Aviv,Tel Aviv,Asia,Israel,Israel,"Tel Aviv, Israel",,,,,,,,,,,Individual,Israel,,,,,
1994,Peace,The Nobel Peace Prize,1,3-Jan,7000000,9249471,10/14/1994,received,for their efforts to create peace in the Middle East,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1994,557,Yasser Arafat,Yasser Arafat,Yasser,Arafat,Yasser Arafat,,male,http://masterdataapi.nobelprize.org/2/laureate/557,8/24/1929,Cairo,Cairo,Africa,Egypt,Egypt,"Cairo, Egypt",11/11/2004,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,Palestine,,,,,
1994,Peace,The Nobel Peace Prize,3,3-Jan,7000000,9249471,10/14/1994,received,for their efforts to create peace in the Middle East,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1994,559,Yitzhak Rabin,Yitzhak Rabin,Yitzhak,Rabin,Yitzhak Rabin,,male,http://masterdataapi.nobelprize.org/2/laureate/559,3/1/1922,Jerusalem,Jerusalem,Asia,British Mandate of Palestine,Israel,"Jerusalem, British Mandate of Palestine (now Israel)",11/4/1995,Tel Aviv,Tel Aviv,Asia,Israel,Israel,"Tel Aviv, Israel",,,,,,,,,,,Individual,Israel,,,,,
1993,Peace,The Nobel Peace Prize,2,2-Jan,6700000,9044276,10/15/1993,received,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1993,556,F.W. de Klerk,F.W. de Klerk,F.W.,de Klerk,Frederik Willem de Klerk,,male,http://masterdataapi.nobelprize.org/2/laureate/556,3/18/1936,Johannesburg,Johannesburg,Africa,South Africa,South Africa,"Johannesburg, South Africa",,,,,,,,,,,,,,,,,,Individual,South Africa,,,,,
1993,Peace,The Nobel Peace Prize,1,2-Jan,6700000,9044276,10/15/1993,received,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1993,555,Nelson Mandela,Nelson Mandela,Nelson,Mandela,Nelson Rolihlahla Mandela,,male,http://masterdataapi.nobelprize.org/2/laureate/555,7/18/1918,Qunu,Qunu,Africa,South Africa,South Africa,"Qunu, South Africa",12/5/2013,Johannesburg,Johannesburg,Africa,South Africa,South Africa,"Johannesburg, South Africa",,,,,,,,,,,Individual,South Africa,,,,,
1992,Peace,The Nobel Peace Prize,1,1,6500000,9184250,10/16/1992,received,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1992,554,Rigoberta Menchú Tum,Rigoberta Menchú Tum,Rigoberta,Menchú Tum,Rigoberta Menchú Tum,,female,http://masterdataapi.nobelprize.org/2/laureate/554,1/9/1959,Aldea Chimel,Aldea Chimel,North America,Guatemala,Guatemala,"Aldea Chimel, Guatemala",,,,,,,,,,,,,,,,,,Individual,Guatemala,,,,,
1991,Peace,The Nobel Peace Prize,1,1,6000000,8673863,10/14/1991,received,for her non-violent struggle for democracy and human rights,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1991,553,Aung San Suu Kyi ,Aung San Suu Kyi ,Aung San Suu Kyi,,Aung San Suu Kyi ,,female,http://masterdataapi.nobelprize.org/2/laureate/553,6/19/1945,Rangoon,Yangon,Asia,Burma,Myanmar,"Rangoon, Burma (now Yangon, Myanmar)",,,,,,,,,,,,,,,,,,Individual,Burma (now Myanmar),,,,,
1990,Peace,The Nobel Peace Prize,1,1,4000000,6329114,10/15/1990,received,for the leading role he played in the radical changes in East-West relations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1990,552,Mikhail Gorbachev,Mikhail Gorbachev,Mikhail,Gorbachev,Mikhail Sergeyevich Gorbachev,,male,http://masterdataapi.nobelprize.org/2/laureate/552,3/2/1931,Privolnoye,Privolnoye,Europe,USSR,Russia,"Privolnoye, USSR (now Russia)",,,,,,,,,,,,,,,,,,Individual,USSR (now Russia),,,,,
1989,Peace,The Nobel Peace Prize,1,1,3000000,5242311,10/5/1989,received,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1989,551,The 14th Dalai Lama ,The 14th Dalai Lama ,Lhamo,Thondup,The 14th Dalai Lama (Tenzin Gyatso) ,,male,http://masterdataapi.nobelprize.org/2/laureate/551,7/6/1935,Taktser,Taktser,Asia,Tibet,China,"Taktser, Tibet (now China)",,,,,,,,,,,,,,,,,,Individual,India,,,,,
1988,Peace,The Nobel Peace Prize,1,1,2500000,4645689,9/29/1988,received,for preventing armed clashes and creating conditions for negotiations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1988,550,United Nations Peacekeeping Forces,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/550,,,,,,,,,,,,,,,United Nations Peacekeeping Forces,United Nations Peacekeeping Forces,,1948-00-00,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",Organization,,,,,,
1987,Peace,The Nobel Peace Prize,1,1,2175000,4274764,10/13/1987,received,for his work for lasting peace in Central America,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1987,549,Oscar Arias Sánchez,Oscar Arias Sánchez,Oscar,Arias Sánchez,Oscar Arias Sánchez,,male,http://masterdataapi.nobelprize.org/2/laureate/549,9/13/1940,Heredia,Heredia,North America,Costa Rica,Costa Rica,"Heredia, Costa Rica",,,,,,,,,,,,,,,,,,Individual,Costa Rica,,,,,
1986,Peace,The Nobel Peace Prize,1,1,2000000,4098361,10/14/1986,received,for being a messenger to mankind: his message is one of peace atonement and dignity,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1986,548,Elie Wiesel,Elie Wiesel,Elie,Wiesel,Elie Wiesel,,male,http://masterdataapi.nobelprize.org/2/laureate/548,9/30/1928,Sighet,Sighet,Europe,Romania,Romania,"Sighet, Romania",7/2/2016,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,,,,
1985,Peace,The Nobel Peace Prize,1,1,1800000,3843964,10/5/1985,received,for spreading authoritative information and by creating awareness of the catastrophic consequences of  nuclear  war,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1985,547,International Physicians for the Prevention of Nuclear War,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/547,,,,,,,,,,,,,,,International Physicians for the Prevention of Nuclear War,International Physicians for the Prevention of Nuclear War,IPPNW,1980-00-00,"Boston, MA","Boston, MA",North America,USA,USA,"Boston, MA, USA",Organization,,,,,,
1984,Peace,The Nobel Peace Prize,1,1,1650000,3782090,10/5/1984,received,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in  South Africa,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1984,546,Desmond Tutu,Desmond Tutu,Desmond,Tutu,Desmond Mpilo Tutu,,male,http://masterdataapi.nobelprize.org/2/laureate/546,10/7/1931,Klerksdorp,Klerksdorp,Africa,South Africa,South Africa,"Klerksdorp, South Africa",,,,,,,,,,,,,,,,,,Individual,South Africa,,,,,
